facility_address,lat,lng,street_address
2300 W Cambria St,39.9989267,-75.16878364,2300 W CAMBRIA ST
1100 Catharine ST,39.94003314,-75.16171119,1100 CATHARINE ST
3201 RYAN AVE,40.04303868,-75.04242524,3201 RYAN AVE
500 Master St,39.97262436,-75.14452233,500 MASTER ST
3700 MORRELL AVE,40.06712841,-74.98925475,3700 MORRELL AVE
127 W OXFORD ST,39.97506372,-75.1359624,127 W OXFORD ST
5701 Wynnefield AVE,39.99198386,-75.2375827,5701 WYNNEFIELD AVE
2300-44 MASTER ST,39.97607791,-75.17430285,2300-44 MASTER ST
1800 W Nedro AVE,40.04331133,-75.15081204,1800 W NEDRO AVE
595 Tomlinson RD,40.11400498,-75.02473781,595 TOMLINSON RD
1849 E Clearfield ST,39.99394206,-75.11467688,1849 E CLEARFIELD ST
6498 Ridge AVE,40.0377885,-75.22207043,6498 RIDGE AVE
5737 Rising Sun AVE,40.04235641,-75.10511908,5737 RISING SUN AVE
1500 W Ontario St,40.00489255,-75.15394167,1500 W ONTARIO ST
2603 N 5th ST,39.99073157,-75.14022544,2603 N 5TH ST
126 W Dauphin ST,39.98477134,-75.1339895,126 W DAUPHIN ST
900 W Oregon AVE,39.91518473,-75.16320002,900 OREGON AVE
5376 West BERKS ST,39.98587855,-75.23180369,5376 W BERKS ST
1100 East MT PLEASANT AVE,40.07098795,-75.17481156,1100 E MOUNT PLEASANT AVE
1700 West OLNEY AVE,40.03732696,-75.15073281,1700 W OLNEY AVE
2200 N 22ND ST,39.9890274,-75.16974028,2200 N 22ND ST
2750 RED LION RD,40.09211002,-75.0139897,2750 RED LION RD
3449 N MASCHER ST,40.00318212,-75.13030615,3449 MASCHER ST
1601 Cottman AVE Room 122,40.05681488,-75.06977908,1601 COTTMAN AVE
5700 WAYNE AVE,40.03187653,-75.18087621,5700 WAYNE AVE
1601 Cottman AVE Room 21,40.05681488,-75.06977908,1601 COTTMAN AVE
725 S 5TH ST,39.93955736,-75.15125006,725 S 5TH ST
2951 WELSH RD,40.05959228,-75.02705828,2951 WELSH RD
6498 RIDGE AVE,40.0377885,-75.22207043,6498 RIDGE AVE
4500 GRISCOM ST,40.01478612,-75.08683067,4500 GRISCOM ST
4601 HAVERFORD AVE,39.96297582,-75.21376033,4601 HAVERFORD AVE
7000 RURAL LN,40.0586126,-75.1956056,
2501 S 13TH ST,39.91871923,-75.16873757,2501 S 13TH ST
1435 N 26TH ST,39.97805339,-75.17713912,1435 N 26TH ST
6100 N FRONT ST,40.04318407,-75.11975275,6100 N FRONT ST
10175 BUSTLETON AVE,40.10641567,-75.02469077,10175 BUSTLETON AVE
720 W CUMBERLAND ST,39.98959039,-75.14546735,720 W CUMBERLAND ST
1435-45 N 26TH ST,39.97805339,-75.17713912,1435 N 26TH ST
6401 HORROCKS ST,40.03756142,-75.07232936,6401 HORROCKS ST
4600 ROSEHILL ST,40.02011499,-75.1192627,4600 ROSEHILL ST
8801 VERREE RD,40.09302102,-75.05259624,8801 VERREE RD
6324 CRITTENDEN ST,40.05808934,-75.16865867,6324 CRITTENDEN ST
4713-21 SPRUCE ST,39.95382663,-75.21675233,4713-21 SPRUCE ST
1100 DEVERAUX AVE,40.03918393,-75.08386687,1100 DEVEREAUX AVE
8025 Thouron AVE,40.07216412,-75.17016109,8025 THOURON AVE
2498 Diamond ST,39.98700376,-75.1743054,2498 DIAMOND ST
2700 Dauphin ST,39.99043963,-75.17699812,2700 W DAUPHIN ST
1501 Diamond ST,39.9858377,-75.15884175,1501 DIAMOND ST
1801 Green ST,39.96507046,-75.16807737,1801 GREEN ST
450 W Nedro AVE,40.04099711,-75.12916171,450 W NEDRO AVE
500 Rhawn St,40.07633123,-75.08166798,500 RHAWN ST
900 Lindley Ave,40.02884616,-75.13861869,900 LINDLEY AVE
3901 Woodhaven Rd,40.08764734,-74.97121408,3901 WOODHAVEN RD
6329 Battersby St,40.03002609,-75.06222385,6329 BATTERSBY ST
616 N 15TH ST,39.96404596,-75.16280972,616 N 15TH ST
